;;;PVC Hartschaum;;;Acrylglas;;;Alu-Dibond (verbund);;Bilderdruckpapier;Kunststoffplakat;Holz Multiplex ;
;;;PVC Hartschaum 3 mm;PVC Hartschaum 5 mm;PVC Hartschaum 10 mm;Acrylglas 3 mm;Acrylglas 5 mm;Acrylglas 8 mm;Alu-Dibond weiß 3 mm;Alu-Dibond silber 3 mm;Bilderdruckpapier 200 g/qm;Kunststoffplakat 250 my;Holz Multiplex 10 mm;Holz Multiplex 15 mm
DIN Formate (jeweils in Hoch & Querformat);;;;;;;;;;;;;;
A6: 14,85 cm x 10,5 cm                                                   ;148;105;376201;;;;;;;;599192;436877;434684;584606
A5: 21,00 cm x 14,85 cm                                              ;210;148;187989;;;;;;;;464985;961600;658516;986240
A4: 29,7 cm x 21 cm                                                  ;297;210;811215;;;;;;;;279568;165281;230316;663316
A3: 42 cm x 29,7 cm                                                ;420;297;216702;;;;;;;;907250;573157;216850;340391
A2: 59,4 cm x 42 cm                              ;594;420;460777;;;;;;;;875597;702073;333093;487650
A1: 84,1 cm x 59,4 cm                                             ;841;594;382410;;;;;;;;803074;773202;165750;164725
A0: 118,8 cm x 84,1 cm;1188;841;971198;;;;;;;;966812;729460;892412;311984
;;;;;;;;;;;;;;
Rahmen-Formate (jeweils in Hoch & Querformat)                                                         ;;;;;;;;;;;;;;
40 cm x 30 cm                                                  ;400;300;;;;;;;;;668657;991221;850277;989212
50 cm x 35 cm                                                  ;500;350;;;;;;;;;121125;359655;641773;264879
60 cm x 40 cm                                                    ;600;400;;;;;;;;;346658;140167;746199;763469
70 cm x 50 cm                                                    ;700;500;;;;;;;;;730890;116935;989926;939135
90 cm x 60 cm                                                    ;900;600;;;;;;;;;178030;787664;270078;889058
100 cm x 70 cm     ;1000;700;;;;;;;;;854817;190902;107721;173641
;;;;;;;;;;;;;;
Quadratische-Formate                                                             ;;;;;;;;;;;;;;
25 cm x 25 cm                                                    ;250;250;;;;;;;;;210743;315049;320329;217774
30 cm x 30 cm                                                    ;300;300;;;;;;;;;944232;493060;178493;691585
35 cm x 35 cm                                                    ;350;350;;;;;;;;;654545;241115;451966;666287
40 cm x 40 cm                                                    ;400;400;;;;;;;;;957131;107949;226920;426331
50 cm x 50 cm                                                    ;500;500;;;;;;;;;681291;909133;751643;117621
60 cm x 60 cm                                                    ;600;600;;;;;;;;;259644;258750;645235;864818
70 cm x 70 cm                                                    ;700;700;;;;;;;;;525820;429811;937406;791877
100 cm x 100 cm                                                    ;1000;1000;;;;;;;;;816352;460565;937580;492873
                                                             ;;;;;;;;;;;;;;
Panorama-Formate (jeweils in Hoch & Querformat)                                                            ;;;;;;;;;;;;;;
60 cm x 20 cm                                                    ;600;200;;;;;;;;;890725;331378;227513;244999
70 cm x 20 cm                                                    ;700;200;;;;;;;;;576211;709555;385179;198275
60 cm x 30 cm                                                    ;600;300;;;;;;;;;396056;359491;658652;440545
70 cm x 30 cm                                                    ;700;300;;;;;;;;;967201;903483;120464;681592
80 cm x 30 cm                                                    ;800;300;;;;;;;;;642601;352176;681503;390468
90 cm x 30 cm                                                    ;900;300;;;;;;;;;514028;726304;177475;897863
100 cm x 30 cm                                                    ;1000;300;;;;;;;;;325816;343167;798301;546642
120 cm x 30 cm                                                    ;1200;300;;;;;;;;;258879;899983;747844;270822
80 cm x 40 cm                                                    ;800;400;;;;;;;;;149524;942483;686527;107434
100 cm x 40 cm                                                    ;1000;400;;;;;;;;;360809;576623;386191;532717
120 cm x 40 cm                                                    ;1200;400;;;;;;;;;735008;778127;362944;580464
100 cm x 50 cm                                                    ;1000;500;;;;;;;;;835472;823529;225157;897974
120 cm x 50 cm;1200;500;;;;;;;;;538257;607899;968742;446488
